"","scenario","metric_criterion","MC_Lower (5%)","MC_Median (50%)","MC_Upper (50%)","Temp_Lower (5%)","Temp_Median (50%)","Temp_Upper (50%)","CO2_Lower (5%)","CO2_Median (50%)","CO2_Upper (50%)","Ocean_Uptake_Lower (5%)","Ocean_Uptake_Median (50%)","Ocean_Uptake_Upper (50%)"
"1","SSP1-1.9","short",0.346589020162987,0.671141088084993,1.09164548253993,0.604433538377972,0.80068301575023,1.01092320394825,0.395291074129009,0.713733286497185,1.11432449877907,0.330521465110468,0.651419772386354,1.07461048446278
"2","SSP1-1.9","mid",0.411060238778469,0.790816260041895,1.2732748635005,0.641820956600685,0.923010512145429,1.24315172169496,0.462833530910866,0.848224457682609,1.31842909977173,0.394638223802337,0.766388230184119,1.25343198418713
"3","SSP1-1.9","long",0.183672904018856,0.587953240959174,1.16335849407692,0.376596610168581,0.712759886010928,1.14622674972684,0.242497607292695,0.652123880245599,1.22736908363039,0.168378377252635,0.557369287741647,1.13841717566092
"4","SSP2-4.5","short",0.307999090566466,0.655971483118034,1.11323234709865,0.617811614857677,0.802291890567692,0.998035991261437,0.356429780884815,0.699745461261844,1.13325112447776,0.290903129287537,0.638287640780709,1.10153250249054
"5","SSP2-4.5","mid",0.720415761086562,1.17039352063144,1.74351652753408,1.03431677026575,1.33190488289275,1.65913854113539,0.783590084445584,1.23340788171884,1.78734379898198,0.698685615221629,1.14608109079528,1.7180389546226
"6","SSP2-4.5","long",1.14333487326747,1.81496719210191,2.68062359330658,1.48934006281774,1.99374138104416,2.6019860139821,1.22639002522667,1.90430563953472,2.74245009119197,1.11843867072599,1.77528961162279,2.62430554190173
"7","SSP3-7.0","short",0.298711102495105,0.660404145557102,1.1272810869185,0.639377553414112,0.821563272608828,1.01665354491211,0.347465503747775,0.706104301821094,1.15366183599485,0.280196836901667,0.640060171663831,1.11796902733903
"8","SSP3-7.0","mid",0.802335498027952,1.29223362043932,1.9193652397077,1.18730024340868,1.48556794881518,1.81683079139708,0.866348288262341,1.35562159449155,1.96513626583698,0.778572640625448,1.2657504995343,1.88945177789788
"9","SSP3-7.0","long",1.88483068749412,2.72563893061269,3.766736435167,2.38376189981016,2.96832285443026,3.66709723203797,1.98105379845802,2.82762557436918,3.84059115689769,1.86332115892094,2.67759558885944,3.72341840921776
"10","SSP5-8.5","short",0.431703430662861,0.778373820150633,1.22258885181712,0.710476987886901,0.905782600100515,1.11432700891662,0.481203376912855,0.8216807010201,1.24659831824355,0.417356517813976,0.757671540435708,1.20508624604394
"11","SSP5-8.5","mid",1.10322321306814,1.61368093443701,2.23246977844058,1.40205953284357,1.75059909181416,2.12356097253918,1.15848266404185,1.67480115266438,2.26803344327084,1.08464979349681,1.58055213771224,2.20543905967564
"12","SSP5-8.5","long",2.58119388582625,3.58136343085031,4.77313718481566,3.03322091031204,3.73897727848093,4.57092085330716,2.6714598963391,3.68218897916828,4.86304230415772,2.56165963500784,3.54027673533011,4.70885869202839
