"","scenario","metric_criterion","MC_Lower (5%)","MC_Median (50%)","MC_Upper (50%)","Temp_Lower (5%)","Temp_Median (50%)","Temp_Upper (50%)","CO2_Lower (5%)","CO2_Median (50%)","CO2_Upper (50%)","Ocean_Uptake_Lower (5%)","Ocean_Uptake_Median (50%)","Ocean_Uptake_Upper (50%)"
"1","SSP1-1.9","short",0.341568567432428,0.672145507747023,1.0883330552901,0.324107225015705,0.638720326257618,0.997735552072418,0.382808939143118,0.713884456541589,1.12855081189877,0.328334341369371,0.665502730299792,1.10737669235825
"2","SSP1-1.9","mid",0.401168236507241,0.797343481634475,1.29993454005992,0.371435984371065,0.767242696458276,1.248538244848,0.450959350705789,0.845808539854931,1.34872859375783,0.390468966239303,0.78297052399711,1.29782409304292
"3","SSP1-1.9","long",0.179118610693342,0.59685045766627,1.21328433612715,0.156960314222883,0.567528316869903,1.19106783495398,0.224996799652111,0.646616690427787,1.2516850038309,0.168362059079978,0.577326354038767,1.19110754947524
"4","SSP2-4.5","short",0.307075355080964,0.655304780053267,1.10026189204361,0.290452062473224,0.620470260373391,0.979685635307683,0.34715276875139,0.700575033542011,1.1471424396577,0.290235837956556,0.652177862700508,1.12561062138751
"5","SSP2-4.5","mid",0.715447025037077,1.17285691244005,1.74957973012676,0.68862503140665,1.13340294768225,1.64969470288231,0.767574101811701,1.2316777621603,1.81044661913946,0.697019173159022,1.16413945070525,1.76372030587461
"6","SSP2-4.5","long",1.14121740432656,1.82358455848081,2.7148876050319,1.10564301369062,1.77628140531214,2.65641784571466,1.20629854965513,1.89581138229791,2.77328950104486,1.12452425908401,1.8039392714687,2.70300890171098
"7","SSP3-7.0","short",0.300176730178418,0.661089873624041,1.11499901538946,0.288960190337052,0.625400732475674,0.98765281800481,0.340346071375372,0.707543021820777,1.16802995961492,0.282083672022057,0.658470936535892,1.14701654474514
"8","SSP3-7.0","mid",0.804683990165673,1.29403279585898,1.91612819892011,0.779573671563828,1.25268346964417,1.78854946592806,0.857607451222057,1.35584427889628,1.98205027391527,0.779707740375352,1.28697050980515,1.9411344110841
"9","SSP3-7.0","long",1.88593230968828,2.73048306204377,3.79000647899233,1.85365985588877,2.66486449349849,3.6694391958396,1.96443290119065,2.8228817178464,3.89605502633201,1.86450419987973,2.71715414315407,3.80440433719306
"10","SSP5-8.5","short",0.431330018188556,0.779506823848505,1.2152807652465,0.414695553512411,0.743526464660853,1.1136171153002,0.470100970555898,0.823442720159834,1.26049680923649,0.41704128576591,0.774265230025951,1.23943953776765
"11","SSP5-8.5","mid",1.10004534528994,1.6155552907011,2.24007147179464,1.07373978983704,1.57026335150222,2.15203605616044,1.150450244443,1.67343329521787,2.29246074224842,1.08361779909602,1.60538365597739,2.2473726420537
"12","SSP5-8.5","long",2.58648317302786,3.58691871233392,4.80060433505769,2.5471501812359,3.50953448882397,4.71772700805641,2.65312296415859,3.67660790361071,4.87531977705235,2.56763997239998,3.56973321827813,4.79478032162698
